Source IP,Destination IP,Src Port,Dst Port,Protocol_L4,Flow Hash,Flow start,Flow End,Total Bytes from Src IP,TTL MIN, TTL MAX,Total Packets from Src IP,Direction,SYN Flag,RST Flag,ACK Flag,FIN Flag,Total Bidirectional Bytes,APPLICATION LAYER PROTOCOL,Protocol Sprecific Information
fe80:0000:0000:0000:6fe2:8bf1:c28b:4ea5,ff02:0000:0000:0000:0000:0000:0001:0002,546,547,17,15626810504917238260,1751825534,1751825534,163,1,254,1,MULTICAST,0,0,0,0,263,,
fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0001:fffc:2af1,0,5120,6,12176547382597322348,1751825534,1751825534,86,1,254,1,MULTICAST,0,1,0,0,186,,
fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0001:0003,0,5120,6,14501176539973313180,1751825534,1751825534,86,1,254,1,MULTICAST,0,1,0,0,272,,
fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0000:00fb,0,5120,6,13625080900434395378,1751825534,1751825534,86,1,254,1,MULTICAST,0,1,0,0,358,,
fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0000:000c,0,5120,6,13665168025426050222,1751825534,1751825534,86,1,254,1,MULTICAST,1,0,0,1,444,,
fe80:0000:0000:0000:fd7e:c552:975c:eb6e,ff02:0000:0000:0000:0000:0000:0001:0002,546,547,17,1490827316924047084,1751825534,1751825534,120,1,254,1,MULTICAST,0,0,0,0,220,,
172.22.120.197,255.255.255.255,5249,5246,17,7668405826585577383,1751825534,1751825534,294,0,64,1,MULTICAST,0,0,0,0,394,,
fe80:0000:0000:0000:fce4:5a10:2b88:253c,ff02:0000:0000:0000:0000:0000:0000:018c,5249,5246,17,13073994529103112512,1751825534,1751825534,314,1,254,1,MULTICAST,0,0,0,0,414,,
172.22.122.74,224.0.0.251,5353,5353,17,17884594029582042825,1751825534,1751825534,82,0,1,1,MULTICAST,0,0,0,0,182,,
fe80:0000:0000:0000:b5e1:5fee:cce3:2aac,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,5353,17,14802344618284885695,1751825534,1751825534,102,1,254,1,MULTICAST,0,0,0,0,202,,
