Header lenght,Source MAC,Destination MAC,IP Protocol,Packet Type,Source IP adress,Destination IP adress,DSCP,ECN,IP ID,IP Fragment Offset,Traffic Class,Flow label,Source Port,Destination Port,IPv6 Extension,IPv6 Extension Lenght,Number of IPv6 Extension,IP header lenght,TCP Header Lenght,TTL,Hop Limit,Payload Size,TCP Window Size,UDP header Lenght,Timestamp,TCP Flag,SYCK Num,ACK Num,TCP Kind,TCP Options Lenght,Number of Options,ARP Hardware Type,ARP Protocol,ARP Hardware Size,ARP Protocol Size,ARP Opcode val,Sender's mac,Sender's IP,Target mac,Target IP,ICMP Type,ICMP code,Checksum,ICMP Echo,Sequence,IGMP Type,IGMP Max response,IGMP Checksum,Group Addr,Hash Identification
163,33:33:00:01:00:02,a4:00:4e:3d:27:10,0x86DD,UDP,fe80:0000:0000:0000:6fe2:8bf1:c28b:4ea5,ff02:0000:0000:0000:0000:0000:0001:0002,0,0,,,0,0,546,547,,0,0,40,,,1,101,,109,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,15626810504917238260
86,33:33:ff:fc:2a:f1,b4:8c:9d:5d:37:9f,0x86DD,TCP,fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0001:fffc:2af1,0,0,,,0,0,0,5120,0-131-255-,40,3,88,44,,1,86,40285,,1751825534,0x140,13107,2197831435,96:,24,0,,,,,,,,,,,,,,,,,,,12176547382597322348
86,33:33:00:01:00:03,b4:8c:9d:5d:37:9f,0x86DD,TCP,fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0001:0003,0,0,,,0,0,0,5120,0-131-255-,40,3,88,44,,1,86,40285,,1751825534,0x140,13107,2197853409,96:,24,0,,,,,,,,,,,,,,,,,,,14501176539973313180
86,33:33:00:00:00:fb,b4:8c:9d:5d:37:9f,0x86DD,TCP,fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,0,0,5120,0-131-255-,40,3,88,44,,1,86,40285,,1751825534,0x140,13107,2197852915,96:,24,0,,,,,,,,,,,,,,,,,,,13625080900434395378
86,33:33:00:00:00:0c,b4:8c:9d:5d:37:9f,0x86DD,TCP,fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0000:000c,0,0,,,0,0,0,5120,0-131-255-,40,3,88,16,,1,86,48404,,1751825534,0x235,13107,2197853393,,,,,,,,,,,,,,,,,,,,,,13665168025426050222
120,33:33:00:01:00:02,4c:eb:bd:14:1f:ad,0x86DD,UDP,fe80:0000:0000:0000:fd7e:c552:975c:eb6e,ff02:0000:0000:0000:0000:0000:0001:0002,0,0,,,0,693596,546,547,,0,0,40,,,1,58,,66,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,1490827316924047084
294,ff:ff:ff:ff:ff:ff,a4:00:4e:3d:2a:08,0x0800,UDP,172.22.120.197,255.255.255.255,48,0,4,0,,,5249,5246,,,,20,,64,,252,,260,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,7668405826585577383
314,33:33:00:00:01:8c,a4:00:4e:3d:2a:08,0x86DD,UDP,fe80:0000:0000:0000:fce4:5a10:2b88:253c,ff02:0000:0000:0000:0000:0000:0000:018c,48,0,,,192,0,5249,5246,,0,0,40,,,1,252,,260,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,13073994529103112512
82,01:00:5e:00:00:fb,98:bd:80:6e:2c:97,0x0800,UDP,172.22.122.74,224.0.0.251,0,0,7,0,,,5353,5353,,,,20,,1,,40,,48,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,17884594029582042825
102,33:33:00:00:00:fb,98:bd:80:6e:2c:97,0x86DD,UDP,fe80:0000:0000:0000:b5e1:5fee:cce3:2aac,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,785049,5353,5353,,0,0,40,,,1,40,,48,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,14802344618284885695
